类别,标准编号,标准名称
装备技术,TB/T2472-1993,DK·S 型道口闪光器
装备技术,TB/T2473-1993,DK·K3型道口控制盘
装备技术,TB/T2476.1-2017,铁路信号电缆 第1部分：一般规定
装备技术,TB/T2476.2-2017,铁路信号电缆 第2部分：塑料护套铁路信号电缆
装备技术,TB/T2476.3-2017,铁路信号电缆 第3部分：综合护套铁路信号电缆
装备技术,TB/T2476.4-2017,铁路信号电缆 第4部分：铝护套铁路信号电缆
装备技术,TB/T2477-2006,铁路道岔的容许通过速度
装备技术,TB/T2478-1993,弹条金相组织评级图
装备技术,TB/T2484-2005,预制先张法预应力混凝土铁路桥简支 T梁技术条件
装备技术,TB/T2487-2016,路基动应力测试方法
装备技术,TB/T2488-2017,轨道检测 道床应变、振动测试方法
装备技术,TB/T2489-2016,轮轨横向力和垂向力地面测试方法
装备技术,TB/T2491-1994,扣件组装疲劳试验方法
装备技术,TB/T2493-2018,铁路线路及信号标志牌
装备技术,TB/T2494.1-1994,轨道车辆车轴探伤方法 新制车轴超声波探伤
装备技术,TB/T2494.2-2010,轨道车车轴探伤方法 第2部分：在役车轴超声波探伤
装备技术,TB/T2502-1994,铁路道口自动广播机
装备技术,TB/T2541-2010,机车车体静强度试验规范
装备技术,TB/T2553-2018,铁路长大货物车
装备技术,TB/T2590-2015,机车电动放风阀
装备技术,TB/T2597-2017,机车车辆车轮专用量具
装备技术,TB/T2604-2016,机车车辆车钩缓冲装置计量器具 货车钩尾框量具
装备技术,TB/T2615-2018,铁路信号故障-安全原则
装备技术,TB/T2624-2011,重型轨道车车轴型式及基本尺寸
装备技术,TB/T2628-2020,铁路预制普通钢筋混凝土简支梁
装备技术,TB/T2629-2023,铁路有砟轨道混凝土弹性轨枕
装备技术,TB/T2640-1995,铁道客车防火保护的结构设计
装备技术,TB/T2657-2016,JZSJC型交流灯丝转换继电器
装备技术,TB/T2673-2016,ZY系列电液转辙机
装备技术,TB/T2679-1995,交流电气化铁道对短波、超短波收信台（站）无线电干扰的防护距离
装备技术,TB/T2687-2020,铁路危险货物运输包装
装备技术,TB/T2689.2-1996,铁路货物集装化运输 通用要求
装备技术,TB/T2689.3-2018,铁路货物集装化运输 第3部分：一次性固体集装袋
装备技术,TB/T2689.4-2018,铁路货物集装化运输 第4部分：一次性集装箱液体集装袋
装备技术,TB/T2698-2009,铁道车辆用球芯折角塞门及组合式集尘器
装备技术,TB/T2702-1996,铁道客车电器设备非金属材料的阻燃要求
装备技术,TB/T2704-2016,铁道客车及动车组电取暖器
装备技术,TB/T2708-2023,辗钢整体车轮 客车
